"Site","Monitor","Date","StartHour","Value","AppliesToNatl","AppliesToSt","CollectionMethod","QuantificationMethod"
2115,1,2002-08-27,0,14,1,1,"RP2K","GRAV"
2115,1,2002-08-30,0,11,1,1,"RP2K","GRAV"
2115,1,2002-09-05,0,5,1,1,"RP2K","GRAV"
2115,1,2002-09-11,0,7,1,1,"RP2K","GRAV"
2115,1,2002-09-17,0,5,1,1,"RP2K","GRAV"
2115,1,2002-09-23,0,9,1,1,"RP2K","GRAV"
2115,1,2002-09-29,0,9,1,1,"RP2K","GRAV"
2115,1,2002-10-05,0,5,1,1,"RP2K","GRAV"
2115,1,2002-10-11,0,10,1,1,"RP2K","GRAV"
2115,1,2002-10-19,0,22,1,1,"RP2K","GRAV"
2115,1,2002-10-23,0,30,1,1,"RP2K","GRAV"
2115,1,2002-10-29,0,13,1,1,"RP2K","GRAV"
2115,1,2002-11-04,0,33,1,1,"RP2K","GRAV"
2115,1,2002-11-10,0,9,1,1,"RP2K","GRAV"
2115,1,2002-11-16,0,53,1,1,"RP2K","GRAV"
2115,1,2002-11-22,0,39,1,1,"RP2K","GRAV"
2115,1,2002-11-28,0,84,1,1,"RP2K","GRAV"
2115,1,2002-12-04,0,31,1,1,"RP2K","GRAV"
2115,1,2002-12-10,0,14,1,1,"RP2K","GRAV"
2115,1,2002-12-16,0,4,1,1,"RP2K","GRAV"
2115,1,2002-12-22,0,16,1,1,"RP2K","GRAV"
2115,1,2002-12-28,0,5,1,1,"RP2K","GRAV"
2115,1,2003-01-03,0,21,1,1,"RP2K","GRAV"
2115,1,2003-01-09,0,30,1,1,"RP2K","GRAV"
2115,1,2003-01-15,0,19,1,1,"RP2K","GRAV"
2115,1,2003-01-21,0,18,1,1,"RP2K","GRAV"
2115,1,2003-01-27,0,17,1,1,"RP2K","GRAV"
2115,1,2003-02-02,0,4,1,1,"RP2K","GRAV"
2115,1,2003-02-08,0,31,1,1,"RP2K","GRAV"
2115,1,2003-02-14,0,18,1,1,"RP2K","GRAV"
2115,1,2003-02-20,0,3,1,1,"RP2K","GRAV"
2115,1,2003-02-26,0,15,1,1,"RP2K","GRAV"
2115,1,2003-03-04,0,10,1,1,"RP2K","GRAV"
2115,1,2003-03-11,0,9,1,1,"RP2K","GRAV"
2115,1,2003-03-16,0,8,1,1,"RP2K","GRAV"
2115,1,2003-03-22,0,7,1,1,"RP2K","GRAV"
2115,1,2003-03-28,0,4,1,1,"RP2K","GRAV"
2115,1,2003-04-03,0,5,1,1,"RP2K","GRAV"
2115,1,2003-04-09,0,13,1,1,"RP2K","GRAV"
2115,1,2003-04-15,0,7,1,1,"RP2K","GRAV"
2115,1,2003-04-21,0,7,1,1,"RP2K","GRAV"
2115,1,2003-04-27,0,5,1,1,"RP2K","GRAV"
2115,1,2003-05-03,0,3,1,1,"RP2K","GRAV"
2115,1,2003-05-09,0,4,1,1,"RP2K","GRAV"
2115,1,2003-05-15,0,10,1,1,"RP2K","GRAV"
2115,1,2003-05-21,0,7,1,1,"RP2K","GRAV"
2115,1,2003-05-27,0,8,1,1,"RP2K","GRAV"
2115,1,2003-06-02,0,10,1,1,"RP2K","GRAV"
2115,1,2003-06-08,0,10,1,1,"RP2K","GRAV"
2115,1,2003-06-14,0,5,1,1,"RP2K","GRAV"
2115,1,2003-06-20,0,7,1,1,"RP2K","GRAV"
2115,1,2003-06-26,0,6,1,1,"RP2K","GRAV"
2115,1,2003-07-02,0,6,1,1,"RP2K","GRAV"
2115,1,2003-07-08,0,6,1,1,"RP2K","GRAV"
2115,1,2003-07-14,0,5,1,1,"RP2K","GRAV"
2115,1,2003-07-20,0,11,1,1,"RP2K","GRAV"
2115,1,2003-07-26,0,6,1,1,"RP2K","GRAV"
2115,1,2003-08-01,0,10,1,1,"RP2K","GRAV"
2115,1,2003-08-07,0,6,1,1,"RP2K","GRAV"
2115,1,2003-08-13,0,9,1,1,"RP2K","GRAV"
2115,1,2003-08-19,0,9,1,1,"RP2K","GRAV"
2115,1,2003-08-25,0,6,1,1,"RP2K","GRAV"
2115,1,2003-08-31,0,12,1,1,"RP2K","GRAV"
2115,1,2003-09-06,0,6,1,1,"RP2K","GRAV"
2115,1,2003-09-12,0,3,1,1,"RP2K","GRAV"
2115,1,2003-09-18,0,3,1,1,"RP2K","GRAV"
2115,1,2003-09-24,0,13,1,1,"RP2K","GRAV"
2115,1,2003-09-30,0,10,1,1,"RP2K","GRAV"
2115,1,2003-10-06,0,9,1,1,"RP2K","GRAV"
2115,1,2003-10-12,0,3,1,1,"RP2K","GRAV"
2115,1,2003-10-18,0,10,1,1,"RP2K","GRAV"
2115,1,2003-10-24,0,7,1,1,"RP2K","GRAV"
2115,1,2003-10-30,0,6,1,1,"RP2K","GRAV"
