"date","AOT_at_500nm","filename"
2000-07-30,97000,"MOD09CMA.A2000212.006.2015138062024.hdf"
2000-07-20,53000,"MOD09CMA.A2000202.006.2015138005323.hdf"
2000-08-02,NA,"MOD09CMA.A2000215.006.2015138065318.hdf"
2000-08-25,48000,"MOD09CMA.A2000238.006.2015138081955.hdf"
2000-08-24,38000,"MOD09CMA.A2000237.006.2015138080413.hdf"
2000-08-18,NA,"MOD09CMA.A2000231.006.2015138045205.hdf"
2000-07-27,65000,"MOD09CMA.A2000209.006.2015138092626.hdf"
2000-08-22,99000,"MOD09CMA.A2000235.006.2015138025458.hdf"
2000-08-03,NA,"MOD09CMA.A2000216.006.2015138092754.hdf"
2000-08-23,66000,"MOD09CMA.A2000236.006.2015138051437.hdf"
2000-07-28,43000,"MOD09CMA.A2000210.006.2015138003324.hdf"
2000-09-02,NA,"MOD09CMA.A2000246.006.2015138082829.hdf"
2000-08-26,18000,"MOD09CMA.A2000239.006.2015138063542.hdf"
2000-09-01,NA,"MOD09CMA.A2000245.006.2015138064108.hdf"
2000-08-04,59000,"MOD09CMA.A2000217.006.2015138093640.hdf"
2000-08-31,331000,"MOD09CMA.A2000244.006.2015138051303.hdf"
2000-08-30,NA,"MOD09CMA.A2000243.006.2015138041226.hdf"
2000-08-19,22000,"MOD09CMA.A2000232.006.2015138063126.hdf"
2000-08-05,NA,"MOD09CMA.A2000218.006.2015138014025.hdf"
2000-09-10,51000,"MOD09CMA.A2000254.006.2015138093433.hdf"
2000-09-08,NA,"MOD09CMA.A2000252.006.2015138065744.hdf"
2000-09-09,20000,"MOD09CMA.A2000253.006.2015138070749.hdf"
2000-09-03,NA,"MOD09CMA.A2000247.006.2015138094140.hdf"
2000-09-07,29000,"MOD09CMA.A2000251.006.2015138031907.hdf"
2000-08-27,59000,"MOD09CMA.A2000240.006.2015138080939.hdf"
2000-08-20,NA,"MOD09CMA.A2000233.006.2015138065829.hdf"
2000-08-21,494000,"MOD09CMA.A2000234.006.2015138025238.hdf"
2000-09-16,26000,"MOD09CMA.A2000260.006.2015138073132.hdf"
2000-09-18,15000,"MOD09CMA.A2000262.006.2015138093201.hdf"
2000-09-11,15000,"MOD09CMA.A2000255.006.2015138093547.hdf"
2000-09-17,NA,"MOD09CMA.A2000261.006.2015138093054.hdf"
2000-09-04,17000,"MOD09CMA.A2000248.006.2015138093351.hdf"
2000-08-28,43000,"MOD09CMA.A2000241.006.2015138084515.hdf"
2000-09-15,27000,"MOD09CMA.A2000259.006.2015138072150.hdf"
2000-09-19,NA,"MOD09CMA.A2000263.006.2015138074001.hdf"
2000-08-29,NA,"MOD09CMA.A2000242.006.2015138033843.hdf"
2000-09-26,37000,"MOD09CMA.A2000270.006.2015139060855.hdf"
2000-09-05,NA,"MOD09CMA.A2000249.006.2015138093341.hdf"
2000-09-24,45000,"MOD09CMA.A2000268.006.2015139044747.hdf"
2000-09-12,NA,"MOD09CMA.A2000256.006.2015138093855.hdf"
2000-09-25,14000,"MOD09CMA.A2000269.006.2015139051924.hdf"
2000-10-04,NA,"MOD09CMA.A2000278.006.2015139070309.hdf"
2000-09-27,16000,"MOD09CMA.A2000271.006.2015139064914.hdf"
2000-09-06,34000,"MOD09CMA.A2000250.006.2015138031059.hdf"
2000-09-13,NA,"MOD09CMA.A2000257.006.2015138093625.hdf"
2000-10-02,21000,"MOD09CMA.A2000276.006.2015139064031.hdf"
